Title,Time (years),Yearly Wage (gp),Daily Wage (cp),Resources (gp),Skills,Leads
Abbot,8,100,270,80,"Theology, Administration, Teaching, Liturgy, Counseling, Scripture, Meditation, Leadership, Writing, Oratory, Ancient Language, Singing, Diplomacy, Herbalism, Etiquette, History, Ritual, Faith","Bishop, Cardinal, Archbishop, Pope, Prior, Inquisitor, Chaplain, Theologian, Censor, Spirit Binder, Sage, Senior Magus, Hierophant, Governor"
Acolyte,4,20,50,5,"Ancient Languages, Cleaning, Doctrine, Etiquette, Faith, Herbalism, History, Law, Liturgy, Mediation, Meditation, Oratory, Persuasion, Prayer, Research, Ritual, Scripture, Sing, Singing, Symbology, Theology, Theurgy, Write","Initiate, Neophyte Magus, Junior Student, Chaplain, Missionary, Apostate, Cultist, Clerk, Priest, Theologian, Caretaker"
Actor,4,55,150,20,"Acrobatics, Acting, Conspicuous, Dance, Disguise, Etiquette, Falsehood, Foreign Languages, Oratory, Persuasion, Poetry, Rhetoric, Sing","Artist, Bard, Composer, Jester, Musician, Master Artisan, Assassin"
Adjunct Magus,4,40,100,15,"Administration, Alchemy, Archaeology, Astrology, Runic Charms, Enchanting, Read, Research, Sorcery, Staff, Write","Demonologist, Scholar, Archeologist, Researcher, Astrologer, Sorcerer"
Admiral,8,200,540,160,"Administration, Campaigning, Cartography, Command, Diplomacy, Drinking, Heraldry, Intimidation, Leadership, Management, Navigation, Observation, Politics, Sailing, Seamanship, Signaling, Strategy, Sword","Colonel, Count, Fleet Admiral, Governor"
Alchemist,7,200,540,140,"Alchemy, Ancient Languages, Distillation, Enchanting, Firebuilding, Herbalism, Geometry, Invention, Mathematics, Metallurgy, Munitions, Philosophy, Poisons, Read, Research, Symbology, Write","Artificer, Astronomer, Geometer, Guild Master, Inventor, Philosopher, Wizard of War"
Alderman,10,100,270,100,"Administration, Animal Handling, Cartography, Command, Estate Management, History, Leadership, Management, Spear","Ambassador, Burgomaster, Chamberlain, Judge, Lord, Steward"
Ale Taster,5,60,160,30,"Appraisal, Brewing, Drinking, Etiquette, Jargon, Poisons, Ugly Truth, Tasting","Brewer, Chef, Hosteler, Master Merchant, Vintner, Barmaid, Assassin"
Ambassador,4,180,490,70,"Bureaucracy, Cryptography, Diplomacy, Etiquette, Falsehood, Foreign Languages, Heraldry, History, Oratory, Read, Rhetoric, Write","Alderman, Burgomaster, Chamberlain, Judge, Legislator, Steward, Chancellor"
Apiarist,7,35,90,20,"Animal Handling, Bargaining, Bartering, Brewing, Carpentry, Firebuilding, Gardening, Preservation","Baker, Brewer, Distiller, Vintner, Ale Taster, Apothecary, Master Caretaker, Barmaid"
Apostate,3,20,50,5,"Church Law, Conspicuous, Demonology, Diatribe, Heretical Doctrine, Intimidation, Lecturing, Ritual, Staff","Covenanter, Cultist, Heretic, Pagan, Junior Magus, Supplicant"
Apothecary,5,130,350,65,"Anatomy, Apothecary, Aura Reading, Brewing, Cooking, Firebuilding, Folklore, Foraging, Herbalism, Poisons, Ugly Truth","Brewer, Distiller, Elementalist, Fertillity Priestess, Hedge Wizard, Physician, Bachelor of Medicine, Oracle"
Appraiser,5,58,150,25,"Accounting, Appraisal, Bargaining, Counterfeiting, Falsehood, Forgery, Gem Shaping, Persuasion","Banker, Bureaucrat, Coin Minter, Jeweler, Master Merchant"
Apprentice,4,30,80,10,"Bartering, Carpentry, Cooking, Hammer, Inconspicuous, Leatherworking, Mending, Read, Smithing, Write","Apiarist, Brewer, Cook, Cottager, Clother, Digger, Farrier, Florist, Journeyman"
Archbishop,7,200,540,140,"Administration, Church Law, Command, Diplomacy, Doctrine, Faith, History, Intimidation, Leadership, Management, Politics, Preaching, Read, Ritual, Write","Apostate, Astronomer, Bureaucrat, Governor, Cardinal, Diviner, Steward"
Archeologist,8,60,160,45,"Archaeology, Ancient Languages, Apothecary, Aura Reading, Campaigning, Cryptography, Folklore, Gem Shaping, Invention, Mathematics, Metallurgy, Navigation, Observation, Preservation, Runic Charms","Explorer, Scholar, Clerk, Merchant Adventurer, Missionary, Sage, Nomadic Tradesman, Cult Leader, Adjunct Magus, Court Astrologer, Scientist"
Archer,4,45,120,15,"Bow, Camouflage, Falconry, Formation Fighting, Fortifications, Fletching, Hunting, Marching, Observation, Tactics","Artillerist, Bowyer, Falconer, Huntsman, Mercenary, Ranger, Scout, Sergeant, Veteran"
Architect,6,115,310,65,"Architecture, Bargaining, Building, Carpentry, Carving, Engineering, Fortifications, Geometry, Illustration, Management, Mason, Mathematics","Builder, Civil Engineer, Mason, Master Builder, Surveyor, Bachelor of Engineering, Plumber, Sculptor"
Archpriest,5,25,60,10,"Administration, Bureaucracy, Church Law, Diplomacy, Faith, History, Management, Meteorology, Oratory, Politics, Preaching, Read, Rhetoric, Ritual, Write","Apostate, Bishop, Chronicler, Inquisitor, Notary, Prior"
